Win Prob,Loss Prob,Tie Prob
0.405405,0.496139,0.101351
0.407407,0.496101,0.10039
0.439453,0.472656,0.0908203
0.468168,0.456415,0.0763957
0.432146,0.490857,0.0779596
0.42968,0.482056,0.0902037
0.416748,0.49075,0.097371
0.448643,0.466085,0.0872093
0.43301,0.492233,0.0815534
0.438647,0.480193,0.0879227
0.427053,0.464734,0.111111
0.439806,0.46699,0.0980583
0.441724,0.491675,0.0705191
0.459223,0.478641,0.0660194
0.393792,0.511154,0.0979631
0.428158,0.473481,0.101254
0.423712,0.472303,0.104956
0.44186,0.485465,0.0755814
0.422481,0.492248,0.0881783
0.450292,0.45809,0.0945419
0.441634,0.464008,0.101167
0.471735,0.430799,0.0984405
0.450732,0.478049,0.075122
0.418199,0.498548,0.090029
0.417561,0.48878,0.0965854
0.401751,0.520428,0.0817121
0.429808,0.482692,0.0884615
0.461463,0.469268,0.0721951
0.43122,0.485854,0.0839024
0.430934,0.499027,0.0787938
0.430108,0.482893,0.0889541
0.443259,0.476237,0.086324
0.428295,0.469961,0.104651
0.447776,0.478723,0.0783366
0.423712,0.500486,0.079689
0.427053,0.469565,0.108213
0.439806,0.486408,0.0776699
0.433852,0.486381,0.0885214
0.416101,0.495635,0.0921435
0.428848,0.481123,0.0977735
0.433171,0.485854,0.0878049
0.436715,0.478261,0.0898551
0.438596,0.477583,0.0867446
0.431051,0.479267,0.0925747
0.415131,0.518914,0.071775
0.443798,0.468023,0.0881783
0.436047,0.476744,0.0881783
0.412451,0.498054,0.0914397
0.42029,0.483092,0.102415
0.429825,0.486355,0.0847953
0.430799,0.47271,0.0984405
0.444767,0.468023,0.0959302
0.426758,0.493164,0.0859375
0.435203,0.499033,0.0715667
0.435374,0.490768,0.079689
0.415039,0.494141,0.0957031
0.413859,0.510106,0.0885467
0.409135,0.517007,0.0816327
0.436837,0.472517,0.0954677
0.416016,0.50293,0.0830078
0.431448,0.474593,0.0977948
0.450732,0.46439,0.0858537
0.444767,0.463178,0.0920543
0.412391,0.515005,0.0755082
0.441546,0.468599,0.0956522
0.392996,0.52821,0.0826848
0.409487,0.524685,0.070668
0.419011,0.500485,0.085354
0.441205,0.483965,0.0826045
0.417476,0.491262,0.0951456
0.435922,0.480583,0.0883495
0.417315,0.490272,0.0963035
0.418762,0.492263,0.0947776
0.424855,0.504817,0.0751445
0.455782,0.455782,0.090379
0.430784,0.477251,0.0939013
0.438356,0.481409,0.0812133
0.442064,0.46446,0.097371
0.432459,0.482021,0.0942663
0.396535,0.522618,0.0895091
0.457726,0.45481,0.0913508
0.428433,0.501934,0.073501
0.422072,0.494676,0.090029
0.405273,0.518555,0.0820312
0.418447,0.48932,0.0941748
0.452148,0.474609,0.0771484
0.428432,0.49075,0.0847128
0.42386,0.487876,0.0921435
0.414658,0.504339,0.0829315
0.421663,0.498066,0.0889749
0.414493,0.495652,0.0937198
0.431335,0.470019,0.102515
0.436959,0.469682,0.0962464
0.432195,0.470244,0.103415
0.43065,0.479146,0.0931135
0.411992,0.503868,0.0880077
0.41537,0.497082,0.0914397
0.448242,0.47168,0.0849609
0.401734,0.500963,0.103083
0.464597,0.461688,0.0756547
0.427184,0.478641,0.101942
0.456922,0.454985,0.0929332
0.435847,0.490695,0.0773751
0.436647,0.484405,0.08577
0.40625,0.525391,0.0732422
0.431467,0.480695,0.0926641
0.422179,0.476654,0.106031
0.417071,0.491756,0.0979631
0.436647,0.482456,0.08577
0.44898,0.475219,0.079689
0.434402,0.504373,0.0670554
0.423977,0.495127,0.0847953
0.406829,0.500488,0.0956098
0.438953,0.466085,0.0998062
0.4355,0.475267,0.0940834
0.405979,0.512054,0.0867888
0.414062,0.504883,0.0859375
0.438169,0.476144,0.0915287
0.417969,0.479492,0.103516
0.414062,0.490234,0.0996094
0.424419,0.49031,0.0910853
0.435248,0.466407,0.104187
0.418695,0.483934,0.103213
0.423977,0.491228,0.0877193
0.426197,0.490714,0.0860215
0.446064,0.468416,0.0884354
0.436592,0.475315,0.0909971
0.420078,0.490253,0.0925926
0.425197,0.48622,0.0905512
0.446184,0.475538,0.0792564
0.420744,0.48728,0.092955
0.436047,0.481589,0.0862403
0.400778,0.499027,0.105058
0.424008,0.485963,0.0929332
0.418605,0.5,0.0862403
0.438716,0.470817,0.0914397
0.420388,0.491262,0.0932039
0.449515,0.457282,0.0951456
0.457726,0.443149,0.103013
0.454722,0.462512,0.0876339
0.42192,0.485936,0.0979631
0.399414,0.490234,0.114258
0.464147,0.448643,0.0920543
0.415295,0.512101,0.0764763
0.409266,0.523166,0.0723938
0.419512,0.502439,0.0839024
0.444767,0.465116,0.0901163
0.418129,0.494152,0.0906433
0.419479,0.510125,0.0790743
0.394056,0.532119,0.0776606
0.439539,0.487524,0.0786948
0.441659,0.473481,0.0896818
0.43677,0.477626,0.0885214
0.43666,0.461612,0.103647
0.429254,0.50478,0.0745698
0.4655,0.444121,0.0913508
0.438356,0.479452,0.0851272
0.447703,0.462366,0.0909091
0.43162,0.472357,0.101843
0.459591,0.459591,0.0866602
0.438049,0.481951,0.0829268
0.434656,0.463698,0.10455
0.447703,0.470186,0.083089
0.404669,0.509728,0.0904669
0.415445,0.488759,0.0977517
0.425944,0.474347,0.102614
0.439379,0.471387,0.0911736
0.446602,0.480583,0.0757282
0.411133,0.484375,0.104492
0.451707,0.452683,0.0985366
0.438665,0.489696,0.0755643
0.410281,0.517944,0.0746848
0.412621,0.497087,0.0951456
0.433852,0.470817,0.098249
0.428571,0.490768,0.0864917
0.40625,0.511719,0.0849609
0.429268,0.469268,0.10439
0.42439,0.481951,0.0956098
0.418288,0.501946,0.0826848
0.435078,0.485465,0.0833333
0.44058,0.477295,0.0888889
0.419789,0.490874,0.092219
0.451423,0.461237,0.0912659
